Reporting Region,City,State,Zip,Country,FullAddress,lat,lng
APAC,Hachioji-shi,Tokyo,192-0063,Japan,Hachioji-shi Tokyo 192-0063 Japan,35.6635522,139.3380338
APAC,Higashi Matsuyama,Saitama,355-0072,Japan,Higashi Matsuyama Saitama 355-0072 Japan,36.0329486,139.3767399
APAC,Tokamachi-shi,Niigata,948-0073,Japan,Tokamachi-shi Niigata 948-0073 Japan,37.136266,138.7542656
APAC,Uonuma-shi,Niigata,949-6608,Japan,Uonuma-shi Niigata 949-6608 Japan,37.0785725,138.8874111
APAC,Joyetsu-shi,Niigata,943-0823,Japan,Joyetsu-shi Niigata 943-0823 Japan,37.1243942,138.2559582
APAC,Sanjo,Niigata,955-0046,Japan,Sanjo Niigata 955-0046 Japan,37.6346157,138.9723488
APAC,Niigata-shi,Niigata-ken,950-1126,Japan,Niigata-shi Niigata-ken 950-1126 Japan,37.8633592,139.0026029
APAC,Iwafune-gun,Niigata,959-3241,Japan,Iwafune-gun Niigata 959-3241 Japan,38.1030259,139.5239156
APAC,Nagaoka-shi,Niigata,940-2112,Japan,Nagaoka-shi Niigata 940-2112 Japan,37.4439489,138.8219023
APAC,Kushiro-shi,Hokkaido,088-0616,Japan,Kushiro-shi Hokkaido 088-0616 Japan,43.0141144,144.4094645
APAC,Kitami-shi,Hokkaido,099-0878,Japan,Kitami-shi Hokkaido 099-0878 Japan,43.8057659,143.8104885
APAC,Nagano-shi,Nagano,381-0025,Japan,Nagano-shi Nagano 381-0025 Japan,36.649908,138.2430856
APAC,Matsumoto-shi,Nagano,399-0033,Japan,Matsumoto-shi Nagano 399-0033 Japan,36.1797782,137.9391388
APAC,Ueda-shi,Nagano,386-0003,Japan,Ueda-shi Nagano 386-0003 Japan,36.4127484,138.291005
APAC,Saku-shi,Nagano,385-0051,Japan,Saku-shi Nagano 385-0051 Japan,36.2391287,138.4712311
APAC,Suwa-shi,Nagano,392-0013,Japan,Suwa-shi Nagano 392-0013 Japan,36.0060356,138.1324734
APAC,Ina-shi,Nagano,396-0021,Japan,Ina-shi Nagano 396-0021 Japan,35.8278664,137.9515178
APAC,Iida-shi,Nagano,395-0013,Japan,Iida-shi Nagano 395-0013 Japan,35.5190412,137.8316172
APAC,Kofu-shi,Yamanashi-ken,400-0054,Japan,Kofu-shi Yamanashi-ken 400-0054 Japan,35.6067172,138.572515
APAC,Nagoya-shi,Aichi,462-0845,Japan,Nagoya-shi Aichi 462-0845 Japan,35.189962,136.9089015
APAC,Shinagawa-ku,Tokyo,140-0002,Japan,Shinagawa-ku Tokyo 140-0002 Japan,35.6158956,139.7492374
APAC,Ome-shi,Tokyo,198-0032,Japan,Ome-shi Tokyo 198-0032 Japan,35.7920538,139.2885792
APAC,Chiba-shi,Chiba,260-0808,Japan,Chiba-shi Chiba 260-0808 Japan,35.5976788,140.1498047
APAC,Sanbu-gun Shibayama-machi,Chiba-ken,289-1608,Japan,Sanbu-gun Shibayama-machi Chiba-ken 289-1608 Japan,35.726906,140.370123
APAC,Obihiro-shi,Hokkaido,080-0028,Japan,Obihiro-shi Hokkaido 080-0028 Japan,42.9158729,143.1613604
APAC,Sapporo-shi,Hokkaido,003-0011,Japan,Sapporo-shi Hokkaido 003-0011 Japan,43.0546113,141.3968474
APAC,Noshiro-shi,Akita,016-0171,Japan,Noshiro-shi Akita 016-0171 Japan,40.1790634,140.0172875
APAC,Saitama-shi,Saitama,331-0046,Japan,Saitama-shi Saitama 331-0046 Japan,35.9258026,139.5903979
APAC,Chichibu-shi,Saitama,369-1871,Japan,Chichibu-shi Saitama 369-1871 Japan,35.9777101,139.0716108
APAC,Odate-shi,Akita,017-0854,Japan,Odate-shi Akita 017-0854 Japan,40.2563102,140.49865
APAC,Osaka-shi,Osaka,538-0037,Japan,Osaka-shi Osaka 538-0037 Japan,34.7175652,135.5847724
APAC,Yamato Koriyama-shi,Nara-ken,639-1124,Japan,Yamato Koriyama-shi Nara-ken 639-1124 Japan,34.6141339,135.7852792
APAC,Funabashi-shi,Chiba,273-0039,Japan,Funabashi-shi Chiba 273-0039 Japan,35.7155133,139.9629678
APAC,Katsuura-shi,Chiba,299-5264,Japan,Katsuura-shi Chiba 299-5264 Japan,35.157879,140.2592197
APAC,Asahi-shi,Chiba,289-2505,Japan,Asahi-shi Chiba 289-2505 Japan,35.734165,140.6268702
APAC,Mobara-shi,Chiba,297-0017,Japan,Mobara-shi Chiba 297-0017 Japan,35.4400094,140.3140016
APAC,Maebashi-shi,Gunma,379-2134,Japan,Maebashi-shi Gunma 379-2134 Japan,36.3294812,139.1132958
APAC,Agatsuma-gun,Gunma,377-0423,Japan,Agatsuma-gun Gunma 377-0423 Japan,36.5883476,138.856721
APAC,Tatebayashi,Gunma,374-0006,Japan,Tatebayashi Gunma 374-0006 Japan,36.2513768,139.5585543
APAC,Tsuchiura-shi,Ibaragi,300-0038,Japan,Tsuchiura-shi Ibaragi 300-0038 Japan,36.0801906,140.1935469
APAC,Omitama-shi,Ibaraki,319-0101,Japan,Omitama-shi Ibaraki 319-0101 Japan,36.2559622,140.373349
APAC,Chikusai-shi,Ibaraki,308-0114,Japan,Chikusai-shi Ibaraki 308-0114 Japan,36.2341778,139.9552754
APAC,Koga-shi,Ibaraki,306-0204,Japan,Koga-shi Ibaraki 306-0204 Japan,36.1775437,139.7620154
APAC,Naka-shi,Ibaraki,311-0117,Japan,Naka-shi Ibaraki 311-0117 Japan,36.434989,140.459247
APAC,Kashima,Ibaraki,314-0022,Japan,Kashima Ibaraki 314-0022 Japan,35.9323744,140.6430661
APAC,Utsunomiya-shi,Tochigi,320-0071,Japan,Utsunomiya-shi Tochigi 320-0071 Japan,36.6097834,139.8572866
APAC,Imaichi-shi,Tochigi,321-2332,Japan,Imaichi-shi Tochigi 321-2332 Japan,36.7239546,139.6893253
APAC,Nasushiobara-shi,Tochigi,329-2702,Japan,Nasushiobara-shi Tochigi 329-2702 Japan,36.9071736,140.0052922
APAC,Sendai-shi,Miyagi,983-0034,Japan,Sendai-shi Miyagi 983-0034 Japan,38.2656314,140.9497103
APAC,Osaki-shi,Miyagi,989-6255,Japan,Osaki-shi Miyagi 989-6255 Japan,38.5960162,140.9773154
APAC,Ishinomaki-shi,Miyagi,986-0805,Japan,Ishinomaki-shi Miyagi 986-0805 Japan,38.4425826,141.3124698
APAC,Kesenuma-shi,Miyagi,988-0053,Japan,Kesenuma-shi Miyagi 988-0053 Japan,38.8914525,141.5619037
APAC,Shibata-gun,Miyagi,989-1606,Japan,Shibata-gun Miyagi 989-1606 Japan,38.0554304,140.766886
APAC,Sado-shi,Niigata,952-0212,Japan,Sado-shi Niigata 952-0212 Japan,37.9811726,138.3867418
APAC,Gwangju,.,502-152,Korea,Gwangju  502-152 Korea,35.1326279,126.8277189
APAC,Yongin-si,Gyeonggi-do,446-904,Korea,Yongin-si Gyeonggi-do 446-904 Korea,37.2543732,127.1178175
APAC,Busan,Busan,617-050,Korea,Busan Busan 617-050 Korea,35.1549213,128.9798496
APAC,Selangor Darul Ehsan,Kuala Lumpur,64000,MALAYSIA,Selangor Darul Ehsan Kuala Lumpur 64000 Malaysia,3.1124019,101.6567218
APAC,Auckland,.,2022,NEW ZEALAND,Auckland  2022 New zealand,-36.9793643,174.7837717
APAC,Wellington,.,6035,NEW ZEALAND,Wellington  6035 New zealand,-41.2484605,174.7889907
APAC,paranaque,Philippines,1018,PHILIPPINES,paranaque Philippines 1018 Philippines,14.494254,121.014664
APAC,Singapore,Singapore,486127,SINGAPORE,Singapore Singapore 486127 Singapore,1.3335367,103.9513808
APAC,Singapore,Singapore,498827,SINGAPORE,Singapore Singapore 498827 Singapore,1.3510112,103.9666115
APAC,Colombo,Sri Lanka,1300,SRI LANKA,Colombo Sri Lanka 1300 Sri lanka,7.2963889,80.635
APAC,"Dayuan,Taoyuan",Taiwan,337,Taiwan,"Dayuan,Taoyuan Taiwan 337 Taiwan",25.0492632,121.193945
APAC,Bangkok,.,10250,THAILAND,Bangkok  10250 Thailand,13.6940995,100.6759772
APAC,Ho Chi Minh,Ho Chi Minh,-,VIET NAM,Ho Chi Minh Ho Chi Minh - Viet nam,10.8230989,106.6296638
EMEA,Wien,Wien,1210,AUSTRIA,Wien Wien 1210 Austria,48.2770352,16.404805
EMEA,Muharraq,Manama,26951,BAHRAIN,Muharraq Manama 26951 Bahrain,26.2367388,50.5778238
EMEA,BRUCARGO,.,1931,BELGIUM,Brucargo  1931 Belgium,50.903293,4.452214
EMEA,Rijeka,.,51000,CROATIA,Rijeka  51000 Croatia,45.3270631,14.442176
EMEA,Vallensbaek,...,2625,DENMARK,Vallensbaek  2625 Denmark,55.6362806,12.3677306
EMEA,Cairo,Down Town,11111,EGYPT,Cairo Down Town 11111 Egypt,30.0444196,31.2357116
EMEA,Floirac,Floirac,33270,FRANCE,Floirac Floirac 33270 France,44.8423234,-0.5079818
EMEA,Bat 3417 B,Roissy,95702,FRANCE,Bat 3417 B Roissy 95702 France,49.0035523,2.5194971
EMEA,Villeneuve La Garenne,France,92390,FRANCE,Villeneuve La Garenne France 92390 France,48.936616,2.324789
EMEA,Lesquin,France,59810,FRANCE,Lesquin France 59810 France,50.590851,3.111239
EMEA,VILLEURBANNE,France,69100,FRANCE,Villeurbanne France 69100 France,45.771944,4.8901709
EMEA,Aix En Provence,.,13852,FRANCE,Aix En Provence  13852 France,43.5280904,5.4489798
EMEA,Mundolsheim,.,67450,FRANCE,Mundolsheim  67450 France,48.641431,7.715592
EMEA,Kesselsdorf,Dresden,1723,GERMANY,Kesselsdorf Dresden 1723 Germany,51.0401091,13.6704337
EMEA,Dusseldorf,.,40595,GERMANY,Dusseldorf  40595 Germany,51.140778,6.9050681
EMEA,Roedermark,.,63322,GERMANY,Roedermark  63322 Germany,49.9729001,8.8301896
EMEA,Raunheim,.,65479,GERMANY,Raunheim  65479 Germany,50.0104109,8.4529177
EMEA,Hamburg,.,20537,GERMANY,Hamburg  20537 Germany,53.550862,10.048934
EMEA,Unterschleißheim,Munchen,85716,GERMANY,Munchen 85716 Germany,48.2821764,11.5620402
EMEA,Berlin,.,10553,GERMANY,Berlin  10553 Germany,52.5282039,13.3213846
EMEA,"Vari  16672,  Athens",Athens,16672,GREECE,"Vari  16672,  Athens Athens 16672 Greece",37.8334351,23.802873
EMEA,Dublin 9,...,,IRELAND,Dublin 9  Ireland,53.3494426,-6.26008
EMEA,Limerick,.,.,IRELAND,Limerick   Ireland,52.6680204,-8.6304975
EMEA,Kanot,.,70700,ISRAEL,Kanot  70700 Israel,31.802465,34.752809
EMEA,Tel Aviv,Tel Aviv,67443,ISRAEL,Tel Aviv Tel Aviv 67443 Israel,32.066158,34.777819
EMEA,Tel Aviv,Tel Aviv,70100,ISRAEL,Tel Aviv Tel Aviv 70100 Israel,32.066158,34.777819
EMEA,Peschiera Borromeo,.,20068,ITALY,Peschiera Borromeo  20068 Italy,45.4363136,9.3311368
EMEA,Fiano Romano,.,65,ITALY,Fiano Romano  65 Italy,40.752413,14.607574
EMEA,Amman,.,11181,JORDAN,Amman  11181 Jordan,32.0089953,35.8746008
